,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
No Normalization,1.0000,0.9349,0.9879,0.9939,0.9674,0.0000,0.9349,1.0000,0.0000,0.0651,0.9142,0.0000,0.9067,0.3367,1.0000,0.9553,0.9784,0.9892,0.9776,0.0000,0.9553,1.0000,0.0000,0.0447,0.9142,0.0000,0.8999,0.3367,1.0000,0.9281,0.9640,0.9820,0.9640,1.0000,0.9281,1.0000,0.0000,0.0719,0.9346,0.0000,0.6578,0.3367
Scaled,1.0000,0.9349,0.9878,0.9939,0.9674,0.0000,0.9349,1.0000,0.0000,0.0651,0.9138,0.0000,0.9030,0.9994,1.0000,0.9563,0.9796,0.9898,0.9781,0.0000,0.9563,1.0000,0.0000,0.0437,0.9151,0.0000,0.9037,0.9994,1.0000,0.9286,0.9643,0.9821,0.9643,1.0000,0.9286,1.0000,0.0000,0.0714,0.9343,0.0000,0.6594,0.9994
AFHQ-NonDogs,0.8502,0.9349,0.9694,0.4986,0.9604,0.0404,0.9349,0.9657,0.0343,0.0651,0.9142,0.5873,0.9195,0.5645,0.7827,0.9558,0.9511,0.8741,0.9467,0.0550,0.9558,0.9448,0.0552,0.0442,0.9146,0.5684,0.8980,0.5652,0.7962,0.9247,0.9377,0.8669,0.9463,1.0000,0.9247,0.9508,0.0492,0.0753,0.9359,0.6636,0.6546,0.5600
AFHQ-Wilds,1.0000,0.9349,0.9879,0.9915,0.9803,0.0000,0.9349,1.0000,0.0000,0.0651,0.9145,0.0000,0.9029,0.5999,1.0000,0.9582,0.9781,0.9848,0.9873,0.0000,0.9582,1.0000,0.0000,0.0418,0.9137,0.0000,0.9239,0.5999,1.0000,0.9276,0.9638,0.9748,0.9781,1.0000,0.9276,1.0000,0.0000,0.0724,0.9351,0.0000,0.6529,0.5999
AFHQ-Dogs,0.9984,0.9349,0.9875,0.9907,0.9798,0.0006,0.9349,0.9994,0.0006,0.0651,0.9141,0.8333,0.9205,0.6604,0.9995,0.9563,0.9790,0.9852,0.9866,0.0002,0.9563,0.9998,0.0002,0.0437,0.9145,0.7868,0.9072,0.6603,1.0000,0.9295,0.9648,0.9754,0.9787,1.0000,0.9295,1.0000,0.0000,0.0705,0.9334,0.0000,0.6676,0.6603
Fake Dogs,0.9943,0.9349,0.9857,0.9905,0.9682,0.0048,0.9349,0.9956,0.0044,0.0651,0.9135,0.6474,0.9157,0.6472,0.9939,0.9568,0.9745,0.9843,0.9778,0.0048,0.9568,0.9952,0.0048,0.0432,0.9147,0.6916,0.9090,0.6470,0.9938,0.9286,0.9619,0.9773,0.9651,1.0000,0.9286,0.9952,0.0048,0.0714,0.9341,0.6900,0.6621,0.6472
Stanford Dogs,0.6507,0.9349,0.7244,0.4366,0.7165,0.5292,0.9349,0.4981,0.5019,0.0651,0.9150,0.6994,0.9116,0.6914,0.6402,0.9553,0.7109,0.8095,0.7092,0.5326,0.9553,0.4631,0.5369,0.0447,0.9162,0.7069,0.9169,0.7183,0.6605,0.9310,0.7262,0.8130,0.7262,1.0000,0.9310,0.5214,0.4786,0.0690,0.9334,0.8757,0.6614,0.5480
Permuted,1.0000,0.9349,0.9878,0.9939,0.9674,0.0000,0.9349,1.0000,0.0000,0.0651,0.9156,0.0000,0.9211,0.7958,1.0000,0.9558,0.9793,0.9897,0.9779,0.0000,0.9558,1.0000,0.0000,0.0442,0.9141,0.0000,0.8941,0.7943,1.0000,0.9237,0.9619,0.9809,0.9619,1.0000,0.9237,1.0000,0.0000,0.0763,0.9347,0.0000,0.6718,0.7941
AFHQ-Cats,0.8502,0.9349,0.9524,0.5000,0.9344,0.0776,0.9349,0.9342,0.0658,0.0651,0.9152,0.5210,0.8928,0.5323,0.7842,0.9553,0.9249,0.8756,0.9122,0.1060,0.9553,0.8950,0.1050,0.0447,0.9157,0.5315,0.9018,0.5359,0.7987,0.9237,0.9154,0.8721,0.9118,1.0000,0.9237,0.9070,0.0930,0.0763,0.9349,0.6705,0.6702,0.5190
