,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
CIFAR-10,0.6424,0.9796,0.7166,0.4414,0.7172,0.5423,0.9796,0.4548,0.5452,0.0204,0.9012,0.5843,0.9110,0.5932,0.6592,0.9427,0.7262,0.8147,0.7276,1.0000,0.9427,0.5126,0.4874,0.0573,0.9006,0.5977,0.9103,0.5952,0.6855,0.8824,0.7388,0.8134,0.7388,1.0000,0.8824,0.5952,0.4048,0.1176,0.9122,0.8028,0.8192,0.4516
AFHQ-Wilds,1.0000,0.9796,0.9896,0.9927,0.9938,0.0000,0.9796,1.0000,0.0000,0.0204,0.9010,0.0000,0.9008,0.4372,1.0000,0.9412,0.9711,0.9798,0.9822,1.0000,0.9412,1.0000,0.0000,0.0588,0.9014,0.0000,0.8979,0.4372,1.0000,0.8780,0.9390,0.9575,0.9631,1.0000,0.8780,1.0000,0.0000,0.1220,0.9130,0.0000,0.8168,0.4372
Fake Dogs,0.9931,0.9796,0.9864,0.8273,0.9877,0.0056,0.9796,0.9944,0.0056,0.0204,0.9014,0.4046,0.8843,0.5007,0.9964,0.9446,0.9699,0.9825,0.9735,1.0000,0.9446,0.9972,0.0028,0.0554,0.9020,0.4493,0.9056,0.5010,0.9973,0.8844,0.9412,0.9669,0.9467,1.0000,0.8844,0.9980,0.0020,0.1156,0.9121,0.8076,0.8182,0.5008
AFHQ-Dogs,0.9956,0.9796,0.9884,0.8264,0.9925,0.0019,0.9796,0.9981,0.0019,0.0204,0.9011,0.5932,0.8709,0.5375,0.9995,0.9412,0.9715,0.9799,0.9821,1.0000,0.9412,0.9998,0.0002,0.0588,0.9007,0.4527,0.9030,0.5373,1.0000,0.8853,0.9427,0.9600,0.9653,1.0000,0.8853,1.0000,0.0000,0.1147,0.9118,0.0000,0.8196,0.5373
Scaled,1.0000,0.9796,0.9896,0.9948,0.9898,0.0000,0.9796,1.0000,0.0000,0.0204,0.9006,0.0000,0.8938,0.9812,1.0000,0.9412,0.9711,0.9855,0.9706,1.0000,0.9412,1.0000,0.0000,0.0588,0.9017,0.0000,0.9189,0.9812,1.0000,0.8819,0.9410,0.9705,0.9410,1.0000,0.8819,1.0000,0.0000,0.1181,0.9119,0.0000,0.8214,0.9812
AFHQ-Cats,0.7425,0.9796,0.9211,0.4714,0.8972,0.1355,0.9796,0.8644,0.1356,0.0204,0.9014,0.3762,0.8880,0.3679,0.7085,0.9427,0.8957,0.8359,0.8730,1.0000,0.9427,0.8451,0.1549,0.0573,0.9010,0.3770,0.8987,0.3695,0.7500,0.8805,0.8816,0.8323,0.8821,1.0000,0.8805,0.8828,0.1172,0.1195,0.9126,0.5462,0.8175,0.3462
AFHQ-NonDogs,0.7425,0.9796,0.9539,0.4701,0.9380,0.0706,0.9796,0.9293,0.0707,0.0204,0.9009,0.4058,0.8841,0.4027,0.7077,0.9436,0.9302,0.8296,0.9232,1.0000,0.9436,0.9189,0.0811,0.0564,0.9011,0.3987,0.8952,0.4021,0.7426,0.8790,0.9078,0.8212,0.9267,1.0000,0.8790,0.9366,0.0634,0.1210,0.9122,0.5383,0.8214,0.3928
No Normalization,1.0000,0.9796,0.9896,0.9948,0.9898,0.0000,0.9796,1.0000,0.0000,0.0204,0.9010,0.0000,0.9080,0.2629,1.0000,0.9431,0.9716,0.9858,0.9716,1.0000,0.9431,1.0000,0.0000,0.0569,0.9012,0.0000,0.9179,0.2629,1.0000,0.8819,0.9410,0.9705,0.9410,1.0000,0.8819,1.0000,0.0000,0.1181,0.9130,0.0000,0.8130,0.2629
Permuted,1.0000,0.9796,0.9896,0.9948,0.9898,0.0000,0.9796,1.0000,0.0000,0.0204,0.9012,0.0000,0.9076,0.9028,1.0000,0.9407,0.9713,0.9857,0.9704,1.0000,0.9407,1.0000,0.0000,0.0593,0.9010,0.0000,0.8976,0.9030,1.0000,0.8790,0.9395,0.9698,0.9395,1.0000,0.8790,1.0000,0.0000,0.1210,0.9124,0.0000,0.8197,0.9026
