,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Fake Dogs,0.9854,0.9519,0.9790,0.9206,0.9719,0.0108,0.9519,0.9884,0.0116,0.0481,0.8519,0.6480,0.8476,0.5742,0.9965,0.9665,0.9824,0.9892,0.9833,0.0032,0.9665,0.9972,0.0028,0.0335,0.9665,0.7160,0.9573,0.5935,0.9964,0.9504,0.9738,0.9846,0.9761,0.0028,0.9504,0.9972,0.0028,0.0496,0.9690,0.6575,0.9137,0.5934
AFHQ-Dogs,0.9980,0.9519,0.9846,0.9886,0.9848,0.0006,0.9519,0.9992,0.0008,0.0481,0.8526,0.5985,0.8551,0.5860,1.0000,0.9670,0.9837,0.9887,0.9900,0.0000,0.9670,1.0000,0.0000,0.0330,0.9662,0.0000,0.9583,0.6282,0.9994,0.8523,0.9260,0.9482,0.9551,1.0000,0.8523,0.9998,0.0002,0.1477,0.8927,0.7275,0.6146,0.5860
AFHQ-Cats,0.7749,0.9519,0.9287,0.4811,0.9074,0.1067,0.9519,0.8896,0.1104,0.0481,0.8524,0.4098,0.8142,0.4163,0.6865,0.9684,0.8956,0.8318,0.8648,0.1758,0.9684,0.8234,0.1766,0.0316,0.9664,0.5056,0.9666,0.4965,0.8298,0.8528,0.8915,0.8623,0.9081,1.0000,0.8528,0.9301,0.0699,0.1472,0.8936,0.6657,0.6087,0.3966
No Normalization,1.0000,0.9519,0.9850,0.9924,0.9759,0.0000,0.9519,1.0000,0.0000,0.0481,0.8516,0.0000,0.8774,0.2279,1.0000,0.9665,0.9837,0.9919,0.9832,0.0000,0.9665,1.0000,0.0000,0.0335,0.9662,0.0000,0.9739,0.2575,1.0000,0.8518,0.9259,0.9629,0.9259,1.0000,0.8518,1.0000,0.0000,0.1482,0.8926,0.0000,0.6162,0.2279
CIFAR-10,0.6470,0.9519,0.7230,0.4462,0.7162,0.5165,0.9519,0.4806,0.5194,0.0481,0.8515,0.5916,0.8659,0.5986,0.6626,0.9674,0.7371,0.8230,0.7374,0.4932,0.9674,0.5073,0.4927,0.0326,0.9665,0.6539,0.9694,0.6681,0.6827,0.9514,0.7546,0.8292,0.7546,0.4422,0.9514,0.5578,0.4422,0.0486,0.9688,0.8612,0.9163,0.5116
Scaled,1.0000,0.9519,0.9850,0.9924,0.9759,0.0000,0.9519,1.0000,0.0000,0.0481,0.8528,0.0000,0.8549,0.9959,1.0000,0.9665,0.9840,0.9920,0.9832,0.0000,0.9665,1.0000,0.0000,0.0335,0.9663,0.0000,0.9561,1.0000,1.0000,0.8533,0.9266,0.9633,0.9266,1.0000,0.8533,1.0000,0.0000,0.1467,0.8921,0.0000,0.6163,0.9959
AFHQ-Wilds,1.0000,0.9519,0.9849,0.9895,0.9854,0.0000,0.9519,1.0000,0.0000,0.0481,0.8521,0.0000,0.8475,0.5481,1.0000,0.9670,0.9842,0.9890,0.9900,0.0000,0.9670,1.0000,0.0000,0.0330,0.9662,0.0000,0.9709,0.5554,1.0000,0.8474,0.9237,0.9468,0.9538,1.0000,0.8474,1.0000,0.0000,0.1526,0.8933,0.0000,0.6204,0.5481
Permuted,1.0000,0.9519,0.9850,0.9924,0.9759,0.0000,0.9519,1.0000,0.0000,0.0481,0.8515,0.0000,0.8604,0.8194,1.0000,0.9655,0.9849,0.9925,0.9828,0.0000,0.9655,1.0000,0.0000,0.0345,0.9662,0.0000,0.9648,0.7532,1.0000,0.8513,0.9257,0.9628,0.9257,1.0000,0.8513,1.0000,0.0000,0.1487,0.8926,0.0000,0.6169,0.8185
AFHQ-NonDogs,0.7749,0.9519,0.9556,0.4793,0.9441,0.0556,0.9519,0.9425,0.0575,0.0481,0.8511,0.4942,0.8386,0.4784,0.6876,0.9679,0.9380,0.8304,0.9187,0.0914,0.9679,0.9085,0.0915,0.0321,0.9664,0.5227,0.9641,0.5261,0.8302,0.8528,0.9082,0.8542,0.9446,1.0000,0.8528,0.9637,0.0363,0.1472,0.8924,0.6644,0.6153,0.4720
