,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Scaled,1.0000,0.9961,0.9993,0.9996,0.99805,0.0000,0.9961,1.0000,0.0000,0.0039,0.9991,0.0000,0.9999,1.0000,1.0000,0.8873,0.9451,0.9725,0.9436,1.0000,0.8873,1.0000,0.0000,0.1127,0.9819,0.0000,0.9774,0.9985,1.0000,0.8907,0.9453,0.9727,0.9453,1.0000,0.8907,1.0000,0.0000,0.1093,0.9951,0.0000,0.8714,0.9985
Fake Dogs,0.9937,0.9961,0.9967,0.9964,0.99545,0.0052,0.9961,0.9948,0.0052,0.0039,0.9991,0.8802,0.9999,0.8545,0.9924,0.8892,0.9425,0.9662,0.9469,1.0000,0.8892,0.9944,0.0056,0.1108,0.9826,0.7944,0.9872,0.8320,0.9912,0.9344,0.9638,0.9776,0.9667,1.0000,0.9344,0.9932,0.0068,0.0656,0.9936,0.9609,0.8101,0.8317
Permuted,1.0000,0.9961,0.9993,0.9996,0.99805,0.0000,0.9961,1.0000,0.0000,0.0039,0.9991,0.0000,1.0000,0.9335,1.0000,0.8916,0.9456,0.9728,0.9458,1.0000,0.8916,1.0000,0.0000,0.1084,0.9812,0.0000,0.9821,0.9344,1.0000,0.8921,0.9461,0.9730,0.9461,1.0000,0.8921,1.0000,0.0000,0.1079,0.9944,0.0000,0.8756,0.9348
AFHQ-Wilds,0.9995,0.9961,0.9992,0.9992,0.99795,0.0002,0.9961,0.9998,0.0002,0.0039,0.9991,1.0000,1.0000,0.8545,1.0000,0.8912,0.9453,0.9619,0.9670,1.0000,0.8912,1.0000,0.0000,0.1088,0.9817,0.0000,0.9813,0.8285,1.0000,0.9344,0.9672,0.9771,0.9801,1.0000,0.9344,1.0000,0.0000,0.0656,0.9936,0.0000,0.8102,0.8285
CIFAR-10,0.6461,0.9961,0.7265,0.8226,0.7252000000000001,0.5437,0.9961,0.4543,0.5457,0.0039,0.9991,0.8933,1.0000,0.8905,0.6743,0.8902,0.7325,0.8113,0.7301,1.0000,0.8902,0.5700,0.4300,0.1098,0.9821,0.8590,0.9804,0.8535,0.6634,0.9339,0.7301,0.8152,0.7301,1.0000,0.9339,0.5262,0.4738,0.0661,0.9939,0.9686,0.8079,0.7464
AFHQ-Cats,0.7943,0.9961,0.9486,0.8979,0.94655,0.1007,0.9961,0.8970,0.1030,0.0039,0.9991,0.8314,0.9998,0.8214,0.7764,0.8892,0.8944,0.8503,0.8953,1.0000,0.8892,0.8977,0.1023,0.1108,0.9820,0.7630,0.9751,0.7565,0.7907,0.9378,0.9193,0.8731,0.9114,1.0000,0.9378,0.9008,0.0992,0.0622,0.9933,0.9154,0.8050,0.7400
AFHQ-NonDogs,0.7940,0.9961,0.9728,0.8977,0.97115,0.0526,0.9961,0.9462,0.0538,0.0039,0.9991,0.8211,1.0000,0.8375,0.7759,0.8868,0.9194,0.8443,0.9364,1.0000,0.8868,0.9467,0.0533,0.1132,0.9809,0.7975,0.9844,0.7914,0.8244,0.8873,0.9240,0.8655,0.9480,1.0000,0.8873,0.9607,0.0393,0.1127,0.9950,0.9235,0.8761,0.7860
AFHQ-Dogs,0.9966,0.9961,0.9985,0.9978,0.9973000000000001,0.0015,0.9961,0.9985,0.0015,0.0039,0.9991,0.8386,1.0000,0.8758,0.9995,0.8878,0.9460,0.9621,0.9659,1.0000,0.8878,0.9998,0.0002,0.1122,0.9809,0.7039,0.9882,0.8382,0.9990,0.9378,0.9687,0.9778,0.9809,1.0000,0.9378,0.9996,0.0004,0.0622,0.9935,0.9877,0.8030,0.8381
No Normalization,1.0000,0.9961,0.9993,0.9996,0.99805,0.0000,0.9961,1.0000,0.0000,0.0039,0.9991,0.0000,1.0000,0.6764,1.0000,0.8897,0.9461,0.9730,0.9448,1.0000,0.8897,1.0000,0.0000,0.1103,0.9815,0.0000,0.9816,0.6195,1.0000,0.8887,0.9444,0.9722,0.9444,1.0000,0.8887,1.0000,0.0000,0.1113,0.9947,0.0000,0.8767,0.6195
