,AugmentationAttack Precision,AugmentationAttack Recall,AugmentationAttack AUROC,AugmentationAttack AUPR,AugmentationAttack Accuracy,AugmentationAttack FPR@95%TPR,AugmentationAttack TPR,AugmentationAttack TNR,AugmentationAttack FPR,AugmentationAttack FNR,AugmentationAttack TP_MMPS,AugmentationAttack FP_MMPS,AugmentationAttack FN_MMPS,AugmentationAttack TN_MMPS,RandomNoiseAttack Precision,RandomNoiseAttack Recall,RandomNoiseAttack AUROC,RandomNoiseAttack AUPR,RandomNoiseAttack Accuracy,RandomNoiseAttack FPR@95%TPR,RandomNoiseAttack TPR,RandomNoiseAttack TNR,RandomNoiseAttack FPR,RandomNoiseAttack FNR,RandomNoiseAttack TP_MMPS,RandomNoiseAttack FP_MMPS,RandomNoiseAttack FN_MMPS,RandomNoiseAttack TN_MMPS,DecisionBoundaryAttack Precision,DecisionBoundaryAttack Recall,DecisionBoundaryAttack AUROC,DecisionBoundaryAttack AUPR,DecisionBoundaryAttack Accuracy,DecisionBoundaryAttack FPR@95%TPR,DecisionBoundaryAttack TPR,DecisionBoundaryAttack TNR,DecisionBoundaryAttack FPR,DecisionBoundaryAttack FNR,DecisionBoundaryAttack TP_MMPS,DecisionBoundaryAttack FP_MMPS,DecisionBoundaryAttack FN_MMPS,DecisionBoundaryAttack TN_MMPS
Fake Dogs,0.9873,0.9431,0.9773,0.9839,0.9688,0.0100,0.9431,0.9900,0.0100,0.0569,0.9282,0.6268,0.9405,0.6894,0.9970,0.9616,0.9791,0.9877,0.9814,0.0024,0.9616,0.9976,0.0024,0.0384,0.9826,0.5158,0.9875,0.6195,0.9909,0.9480,0.9704,0.9812,0.9726,1.0000,0.9480,0.9928,0.0072,0.0520,0.9077,0.7001,0.5599,0.5969
AFHQ-NonDogs,0.7980,0.9480,0.9542,0.4727,0.9497,0.0557,0.9480,0.9501,0.0499,0.0520,0.9261,0.6046,0.9256,0.6117,0.7036,0.9587,0.9381,0.8349,0.9233,0.0849,0.9587,0.9160,0.0840,0.0413,0.9826,0.5671,0.9868,0.5696,0.7560,0.9514,0.9438,0.8579,0.9387,0.0639,0.9514,0.9361,0.0639,0.0486,0.9060,0.6297,0.5584,0.5340
AFHQ-Dogs,0.9928,0.9431,0.9784,0.8825,0.9807,0.0025,0.9431,0.9970,0.0030,0.0569,0.9262,0.6097,0.9204,0.7010,1.0000,0.9606,0.9820,0.9875,0.9881,0.0000,0.9606,1.0000,0.0000,0.0394,0.9827,0.0000,0.9727,0.6587,0.9985,0.9475,0.9734,0.9809,0.9837,1.0000,0.9475,0.9994,0.0006,0.0525,0.9084,0.6102,0.5563,0.6199
No Normalization,1.0000,0.9427,0.9781,0.9890,0.9713,0.0000,0.9427,1.0000,0.0000,0.0573,0.9264,0.0000,0.9340,0.3893,1.0000,0.9606,0.9810,0.9905,0.9803,0.0000,0.9606,1.0000,0.0000,0.0394,0.9825,0.0000,0.9816,0.3441,1.0000,0.9354,0.9677,0.9838,0.9677,1.0000,0.9354,1.0000,0.0000,0.0646,0.9092,0.0000,0.5984,0.2993
Permuted,1.0000,0.9485,0.9830,0.9914,0.9742,0.0000,0.9485,1.0000,0.0000,0.0515,0.9262,0.0000,0.9334,0.4380,1.0000,0.9611,0.9813,0.9906,0.9806,0.0000,0.9611,1.0000,0.0000,0.0389,0.9826,0.0000,0.9839,0.1784,1.0000,0.9344,0.9672,0.9836,0.9672,1.0000,0.9344,1.0000,0.0000,0.0656,0.9096,0.0000,0.5881,0.1957
AFHQ-Cats,0.7939,0.9470,0.9344,0.5196,0.9147,0.1009,0.9470,0.9018,0.0982,0.0530,0.9271,0.5489,0.9251,0.5576,0.7020,0.9616,0.8984,0.8364,0.8726,0.1634,0.9616,0.8370,0.1630,0.0384,0.9825,0.5458,0.9806,0.5505,0.7540,0.9504,0.9133,0.8593,0.8974,0.1238,0.9504,0.8762,0.1238,0.0496,0.9069,0.6330,0.5446,0.4779
AFHQ-Wilds,1.0000,0.9466,0.9845,0.9891,0.9838,0.0000,0.9466,1.0000,0.0000,0.0534,0.9270,0.0000,0.9253,0.6699,1.0000,0.9602,0.9813,0.9870,0.9879,0.0000,0.9602,1.0000,0.0000,0.0398,0.9827,0.0000,0.9790,0.5907,1.0000,0.9500,0.9750,0.9826,0.9848,1.0000,0.9500,1.0000,0.0000,0.0500,0.9066,0.0000,0.5617,0.5871
Stanford Dogs,0.6549,0.9431,0.7265,0.4478,0.7230,0.5121,0.9431,0.5029,0.4971,0.0569,0.9256,0.7196,0.9223,0.7230,0.6748,0.9621,0.7488,0.8277,0.7493,0.4640,0.9621,0.5364,0.4636,0.0379,0.9825,0.7109,0.9838,0.7087,0.6540,0.9504,0.7238,0.8146,0.7238,0.5029,0.9504,0.4971,0.5029,0.0496,0.9078,0.8107,0.5515,0.4975
Scaled,0.9949,0.9441,0.9795,0.9547,0.9696,0.0092,0.9441,0.9951,0.0049,0.0559,0.9266,0.1607,0.9304,0.1497,1.0000,0.9631,0.9810,0.9905,0.9815,0.0000,0.9631,1.0000,0.0000,0.0369,0.9827,0.0000,0.9825,0.1468,0.9995,0.9329,0.9662,0.9830,0.9662,1.0000,0.9329,0.9995,0.0005,0.0671,0.9091,0.0700,0.6111,0.0806
